Name,Alias,Nationality,Designation,Sanction Type,Source
REMADNA,"Jalloul, Remadna",Algeria,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
LAAGOUB,Rachid,Italy,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
DROUKDEL,Abdelouadoud,Algeria,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
OULD EL AMAR,"el Tilemsi, Ould Amar, Ould el Amar Ould Sidahmed Loukbeiti",Mali,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
HAQ,"Al-Haq, Aximu, Hake, Heq, IMAN, Iman, Jundullah, Khaliq, Maimaiti, Maimaiti, Memeti, MUHELISI, Muhelisi, Qekeman, QERMAN, Qerman, SAIFUDING, Saifuding, Saimaiti",Afghanistan,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
BA'AYSIR,"Ba'asyir, Ba'asyir, Ba'asyir, Ba'asyir, Ba'asyir, Ba'asyir, Ba'asyir, Bashir, Bashir, Bashir, Bashir, Bashir, Bashir, Bashir, Bashir",Indonesia,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
BA'ASYIR,"Ba'aysir, Bashir, Bashir",Indonesia,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
ABUBAKAR,"Abu Bakar, Abubakar, Escalon","Philippines, Saudi Arabia",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
ABDUR REHMAN,"Abd Ur-Rehman, Abdur Rahman, AL-SINDHI, AL-SINDHI, Rehman, SINDHI, Sindhi, SINDHI, SINDHI, Yamin",Pakistan,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
BA'ASYIR,"Baasyir, Bashir, Samad, Somad",Indonesia,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
