Name,Alias,Nationality,Designation,Sanction Type,Source
Rehmatullah,,Afghanistan,Consul General Taliban Consulate General Karachi Pakistan,1988 Taliban,Australia
Kakazada,,Afghanistan,Consul General Taliban Consulate General Karachi Pakistan,1988 Taliban,Australia
Mullah Nasir,,Afghanistan,Consul General Taliban Consulate General Karachi Pakistan,1988 Taliban,Australia
Mohammad Aleem Noorani,,Afghanistan,First Secretary Taliban Consulate General Karachi Pakistan,1988 Taliban,Australia
Abdul Ghafar Shinwari,,Afghanistan,Third Secretary Taliban Consulate General Karachi,1988 Taliban,Australia
Gul Ahmad Hakimi,,Afghanistan,Commercial Attache Taliban Consulate General Karachi Pakistan,1988 Taliban,Australia
Abdullah Hamad Mohammad Karim,,Afghanistan,Consul General Taliban Consulate General Quetta Pakistan,1988 Taliban,Australia
alHammad,,Afghanistan,Consul General Taliban Consulate General Quetta Pakistan,1988 Taliban,Australia
Abdul Hai Hazem Abdul Qader,,Afghanistan,First Secretary Taliban Consulate General Quetta Pakistan,1988 Taliban,Australia
Abdul Hai Hazem,,Afghanistan,First Secretary Taliban Consulate General Quetta Pakistan,1988 Taliban,Australia
Hamdullah Allah Noor,,Afghanistan,Repatriation Attache Taliban Consulate General Quetta Pakistan,1988 Taliban,Australia
Aiman Muhammed Rabi AlZawahiri,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,a close associate of Usama Bin Laden (deceased)
Ayman AlZawahari,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,a close associate of Usama Bin Laden (deceased)
Ahmed Fuad Salim,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,a close associate of Usama Bin Laden (deceased)
Al Zawahry Aiman Mohamed Rabi Abdel Muaz,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,a close associate of Usama Bin Laden (deceased)
Al Zawahiri Ayman,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,a close associate of Usama Bin Laden (deceased)
Abdul Qader Abdul Aziz Abdul Moez Al Doctor,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,a close associate of Usama Bin Laden (deceased)
Al Zawahry Aiman Mohamed Rabi,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,a close associate of Usama Bin Laden (deceased)
Al Zawahry Aiman Mohamed Rabie,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,a close associate of Usama Bin Laden (deceased)
Al Zawahry Aiman Mohamed Robi,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,a close associate of Usama Bin Laden (deceased)
Dhawahri Ayman,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,a close associate of Usama Bin Laden (deceased)
Eddaouahiri Ayman,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,a close associate of Usama Bin Laden (deceased)
Nur Al Deen Abu Mohammed,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,a close associate of Usama Bin Laden (deceased)
Abu Fatma,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,a close associate of Usama Bin Laden (deceased)
Abu Mohammed,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,a close associate of Usama Bin Laden (deceased)
Ayman Al Zawahari,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,a close associate of Usama Bin Laden (deceased)
Ahmad Fuad Salim,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,a close associate of Usama Bin Laden (deceased)
Mohammed Salahaldin Abd El Halim Zidane,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,Australia
SayfAl Adl,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,Australia
Muhamad Ibrahim Makkawi,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,Australia
Ibrahim alMadani,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,Australia
Saif AlAdil,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,Australia
Seif al Adel,,Egyptian,Unknown,126719892253 ISIL Daesh and AlQaida,Australia
Salim Ahmad Salim Hamdan,,Yemeni,Unknown,126719892253 ISIL Daesh and AlQaida,Australia
Saqr AlJaddawi,,Yemeni,Unknown,126719892253 ISIL Daesh and AlQaida,Australia
Saqar Aljawadi,,Yemeni,Unknown,126719892253 ISIL Daesh and AlQaida,Australia
Salem Ahmed Salem Hamdan,,Yemeni,Unknown,126719892253 ISIL Daesh and AlQaida,Australia
Bilal Bin Marwan,,,Unknown,126719892253 ISIL Daesh and AlQaida,Australia
