Name,Alias,Nationality,Designation,Sanction Type,Source
MAXAMED CABDULLAAH CIISE,Maxamed Cabdullaahi Ciise,Somalia,individual,Al-Qaida,UN
RADI ABD EL SAMIE ABOU EL YAZID,Mera’i,Egypt,individual,Al-Qaida,UN
ZAKARYA ESSABAR,Zakariya Essabar,Morocco,individual,Al-Qaida,UN
ISNILON TOTONI HAPILON,Isnilon Hapilun,Philippines,individual,Al-Qaida,UN
RAED MUHAMMAD HASAN MUHAMMAD,Raed M. Hijazi,Jordan,individual,Al-Qaida,UN
DAWOOD IBRAHIM KASKAR,Dawood Ebrahim,India,individual,Al-Qaida,UN
DJAMEL MOUSTFA,Kalad Belkasam,Algeria,individual,Al-Qaida,UN
DJAMEL LOUNICI,Jamal Lounici,Algeria,individual,Al-Qaida,UN
ARIS MUNANDAR,,Indonesia,individual,Al-Qaida,UN
ALI SAYYID MUHAMED,Ali Salim,Egypt,individual,Al-Qaida,UN
ABU RUSDAN,Abu Thoriq,Unknown,individual,Al-Qaida,UN
MOHAMMED SALAHALDIN ABD EL HALIM,Sayf-Al Adl,Egypt,individual,Al-Qaida,UN
PARLINDUNGAN SIREGAR,"Siregar, Parlin",Indonesia,individual,Al-Qaida,UN
YASSIN SYAWAL,Salim Yasin,Indonesia,individual,Al-Qaida,UN
ABDELHALIM HAFED ABDELFATTAH,Abdelhalim Remadna,Algeria,individual,Al-Qaida,UN
RADULAN SAHIRON,Radullan Sahiron,Philippines,individual,Al-Qaida,UN
TAUFIK RIFKI,"Refke, Taufek",Indonesia,individual,Al-Qaida,UN
AL-AZHAR BEN KHALIFA BEN AHMED,Salmane,Tunisia,individual,Al-Qaida,UN
YAZID SUFAAT,Joe,Malaysia,individual,Al-Qaida,UN
MOHAMMED TUFAIL,"Tufail, S.M.",Pakistan,individual,Al-Qaida,UN
YUNOS UMPARA MOKLIS,Muklis Yunos,Philippines,individual,Al-Qaida,UN
ARIS SUMARSONO,Zulkarnan,Indonesia,individual,Al-Qaida,UN
ABDUL RAZAQ AKHUND LALA AKHUND,,Afghanistan,Minister of Interior Affairs under the Taliban regime,Taliban,UN
MERAI ABDEFATTAH KHALIL,F’raji di Singapore,Libya,individual,Al-Qaida,UN
NESSIM BEN ROMDHANE SAHRAOUI,Dass,Tunisia,individual,Al-Qaida,UN
MOHAMMED AL GHABRA,Mohammed El’ Ghabra,United Kingdom of Great Britain and Northern Ireland,individual,Al-Qaida,UN
NAJMUDDIN FARAJ AHMAD,Mullah Krekar,Iraq,individual,Al-Qaida,UN
ABDELMALEK DROUKDEL,Abou Mossaab Abdelouadoud,Algeria,individual,Al-Qaida,UN
SIRAJUDDIN JALLALOUDINE HAQQANI,Siraj Haqqani,Afghanistan,Na'ib Amir (Deputy Commander),Taliban,UN
SALEM NOR ELDIN AMOHAMED,Abu Al-Ward,Libya,individual,Al-Qaida,UN
ALY SOLIMAN MASSOUD,Adam,Libya,individual,Al-Qaida,UN
MUBARAK MUSHAKHAS SANAD,Mubarak Mishkhis Sanad Al-Bathali,Kuwait,individual,Al-Qaida,UN
HAMID ABDALLAH AHMAD,Dr. Hamed Abdullah Al-Ali,Kuwait,individual,Al-Qaida,UN
JABER ABDALLAH JABER,Jaber Al-Jalamah,Kuwait,individual,Al-Qaida,UN
HILARION DEL ROSARIO SANTOS,Akmad Santos,Philippines,individual,Al-Qaida,UN
AHMED DEGHDEGH,Abd El Illah,Algeria,individual,Al-Qaida,UN
YAHIA DJOUADI,Yahia Abou Ammar,Algeria,individual,Al-Qaida,UN
AMOR MOHAMED GHEDEIR,Abdelhamid Abou Zeid,Algeria,individual,Al-Qaida,UN
REDOUANE EL HABHAB,Abdelrahman,Germany,individual,Al-Qaida,UN
ZAKI-UR-REHMAN LAKHVI,Zakir Rehman Lakvi,Pakistan,individual,Al-Qaida,UN
HAJI MUHAMMAD ASHRAF,Haji M. Ashraf,Pakistan,individual,Al-Qaida,UN
MAHMOUD MOHAMMAD AHMED,Bahaziq Mahmoud,Saudi Arabia,individual,Al-Qaida,UN
ARIF QASMANI,Muhammad Arif Qasmani,Pakistan,individual,Al-Qaida,UN
FAZEEL-A-TUL SHAYKH ABU MOHAMMED AMEEN,Shaykh Aminullah,Afghanistan,individual,Al-Qaida,UN
MOHAMMED YAHYA MUJAHID,Mohammad Yahya Aziz,Pakistan,individual,Al-Qaida,UN
AKRAM TURKI HISHAN,Akram Turki Al-Hishan,Unknown,individual,Al-Qaida,UN
GHAZY FEZZA HISHAN,Ghazy Fezzaa Hishan,Unknown,individual,Al-Qaida,UN
GUL AGHA ISHAKZAI,Mullah Gul Agha,Unknown,individual,Taliban,UN
AMIR ABDULLAH,Amir Abdullah Sahib,Afghanistan,Former Kandahar Province Deputy Taliban Governor,Taliban,UN
ANWAR NASSER ABDULLA,Anwar al-Aulaqi,United States of America,individual,Al-Qaida,UN
NASIRUDDIN HAQQANI,Dr. Alim Ghair,Afghanistan,individual,Taliban,UN
SALEH MOHAMMAD KAKAR,Saleh Mohammad,Afghanistan,individual,Taliban,UN
ABDUL HABIB ALIZAI,Haji Agha Jan Alizai,Afghanistan,individual,Taliban,UN
KHALIL AHMED HAQQANI,Khalil Al-Rahman Haqqani,Afghanistan,individual,Taliban,UN
DOKU KHAMATOVICH UMAROV,Lom-ali Butayev (Butaev),Russian Federation,individual,Al-Qaida,UN
IBRAHIM HASSAN TALI,Ibrahim Hassan Tali Asiri (إبراهيم حسن طالع عسيري),Saudi Arabia,individual,Al-Qaida,UN
OTHMAN AHMED OTHMAN,Othman al-Ghamdi,Saudi Arabia,individual,Al-Qaida,UN
ABDUL RAHIM BA'AYSIR,Abdul Rahim Bashir,Indonesia,individual,Al-Qaida,UN
UMAR PATEK,Omar Patek,Indonesia,individual,Al-Qaida,UN
MUHAMMAD JIBRIL ABDUL RAHMAN,Mohammad Jibril Abdurrahman,Indonesia,individual,Al-Qaida,UN
MATI UR-REHMAN ALI MUHAMMAD,Mati-ur Rehman,Pakistan,individual,Al-Qaida,UN
FAIZULLAH KHAN NOORZAI,Haji Faizullah Noor,Afghanistan,individual,Taliban,UN
MALIK NOORZAI,حاجى مالك نورزى (Hajji Malik Noorzai; Hajji Malak Noorzai; Haji Malek Noorzai),Afghanistan,individual,Taliban,UN
ABDUL AZIZ ABBASIN,Abdul Aziz Mahsud,Unknown,individual,Taliban,UN
FAZL RABI,Fazl Rabbi,Afghanistan,Senior official in Konar Province during the Taliban regime,Taliban,UN
AHMED JAN WAZIR AKHTAR MOHAMMAD,Ahmed Jan Kuchi,Unknown,"Official of the Ministry of Finance during the Taliban
regime",Taliban,UN
YASSIN CHOUKA,Abu Ibraheem,Germany,individual,Al-Qaida,UN
AHMAD ZIA AGHA,Zia Agha,Unknown,individual,Taliban,UN
MOHAMMAD AMAN AKHUND,Mohammed Aman,Unknown,individual,Taliban,UN
MONIR CHOUKA,Abu Adam,Germany,individual,Al-Qaida,UN
ABDUL SAMAD ACHEKZAI,Abdul Samad,Afghanistan,individual,Taliban,UN
ABDUL ROSYID RIDHO,Abdul Rosyid Ridho Bashir,Indonesia,individual,Al-Qaida,UN
ABDUR REHMAN,Abdul Rehman; Abd Ur-Rehman; Abdur Rahman,Pakistan,individual,Al-Qaida,UN
FAZAL RAHIM,Fazel Rahim; Fazil Rahim,Afghanistan,individual,Al-Qaida,UN
MOCHAMMAD ACHWAN,Muhammad Achwan,Indonesia,individual,Al-Qaida,UN
ZAFAR IQBAL,Zaffer Iqbal,Pakistan,individual,Al-Qaida,UN
BAKHT GUL,Bakhta Gul,Afghanistan,individual,Taliban,UN
ABDUL SATAR ABDUL MANAN,Haji Abdul Sattar Barakzai,Unknown,individual,Taliban,UN
KHAIRULLAH BARAKZAI KHUDAI NAZAR,Haji Khairullah,Unknown,individual,Taliban,UN
AYYUB BASHIR,Alhaj Qari Ayub Bashar,Uzbekistan,individual,Al-Qaida,UN
AAMIR ALI CHAUDHRY,Aamir Ali Chaudary,Pakistan,individual,Al-Qaida,UN
MOHAMMED QASIM MIR WALI KHUDAI RAHIM,Muhammad Qasim,Afghanistan,individual,Taliban,UN
ABDUL RAUF ZAKIR,Qari Zakir,Afghanistan,individual,Taliban,UN
DJAMEL AKKACHA,Yahia Abou el Hoummam,Algeria,individual,Al-Qaida,UN
ABDERRAHMANE OULD EL AMAR,Ahmed el Tilemsi,Mali,individual,Al-Qaida,UN
HAMADA OULD MOHAMED EL KHAIRY,Hamada Ould Mohamed Lemine Ould Mohamed el Khairy,Mauritania,individual,Al-Qaida,UN
AHMED SHAH NOORZAI OBAIDULLAH,Mullah Ahmed Shah Noorzai,Unknown,individual,Taliban,UN
ADAM KHAN ACHEKZAI,Maulavi Adam Khan,Pakistan,individual,Taliban,UN
MOHAMED LAHBOUS,Mohamed Ennouini,Mali,individual,Al-Qaida,UN
MUHAMMAD JAMAL ABD-AL RAHIM AHMAD,Muhammad Jamal Abdo Al-Kashif,Egypt,individual,Al-Qaida,UN
ABD-AL-HAMID AL-MASLI,Abd-al-Hamid Muhammad Abd-al-Hamid Al-Masli,Libya,individual,Al-Qaida,UN
QARI SAIFULLAH TOKHI,Qari Saifullah,Afghanistan,individual,Taliban,UN
ABDUL GHAFAR QURISHI ABDUL GHANI,Abdul Ghaffar Qureshi,Afghanistan,"Repatriation Attache, Taliban Embassy, Islamabad,
Pakistan",Taliban,UN
ABDULQADER MOHAMMED AL-BAGHDADI,,Unknown,"Head of the Liaison Office of the Revolutionary
Committees",Libya,UN
ABDULQADER YUSEF DIBRI,,Unknown,Head of Muammar Qadhafi's personal security,Libya,UN
YUN HO-JIN,Yun Ho-chin,Democratic People's Republic of Korea,Director of Namchongang Trading Corporation,DPRK,UN
QUREN SALIH QUREN,Akrin Saleh Akrin (أقرين صالح أقرين),Unknown,Libyan Ambassador to Chad,Libya,UN
AMID HUSAIN AL KUNI,,Unknown,Governor of Ghat (South Libya),Libya,UN
ABU ZAYD UMAR,Dorda Abuzed OE,Unknown,"Director, External Security Organisation.",Libya,UN
HWANG SOK-HWA,HWANG SOK HA,Democratic People's Republic of Korea,Director in the General Bureau of Atomic Energy (GBAE),DPRK,UN
RI HONG-SOP,,Democratic People's Republic of Korea,"Former director, Yongbyon Nuclear Research Center, and Head of Nuclear Weapons Institute",DPRK,UN
